,id,name
0,1,PGA
1,2,MLB
2,3,WNBA
3,4,NASCAR
4,5,TENNIS
5,6,MLS
6,7,NBA
7,8,NHL
8,9,NFL
9,11,CFL
10,12,MMA
11,13,oldCSGO
12,14,EPL
13,15,CFB
14,16,NFL WEEK 17
15,17,RYDER
16,18,NBA Preseason
17,19,Tiger vs. Phil
18,20,CBB
19,21,Duplicate
20,22,duplicate
21,23,[duplicate]Tennis
22,24,2ndHALF[duplicate]
23,25,NFL2H
24,26,CELEBGOLF
25,27,AAF
26,28,All-Star Weekend
27,29,DUNK
28,30,RISING_STARS
29,31,3PT
30,32,ALLSTAR
31,33,NIT
32,34,SMITE
33,35,NFL1H
34,36,WWC
35,37,CWS
36,38,BIG3
37,39,COPA
38,40,NBASL
39,41,HRDERBY
40,42,BOXING
41,43,MLBP
42,44,NFLP
43,45,QB
44,46,DST
45,47,SEC
46,79,UCL
47,80,NBA2H
48,81,1stHalf	
49,82,SOCCER
50,83,PRES
51,84,NBA1H
52,117,XFL
53,118,COMBINE
54,119,40YD
55,120,NFLFA
56,121,LoL
57,122,HORSE
58,123,DRAFT
59,124,CSGO
60,125,F1
61,126,NBA2K
62,127,POKER
63,128,WNBAD
64,129,NBAD
65,130,DESTROY-LATER-NBAD
66,131,GOLF
67,132,ACL
68,133,Draft
69,134,DESTROY-LATER-ACL
70,135,KBO
71,136,[-destroy]NBA2k
72,137,XFINITY
73,138,TRUCKS
74,139,MLB_DRAFT
75,140,OUTLAW
76,141,LOL
77,142,CBA
78,143,HOTDOG
79,144,TBT
80,145,COD
81,146,Trucks
82,147,ORPHANED
83,148,JaiAlai
84,149,NBA4Q
85,150,CFB2H
86,151,EURO
87,152,NFL4Q
88,153,CFB4Q
89,154,MAC
90,155,CBB2H
91,156,DISCC
92,157,DISC
93,158,NBAG
94,159,VAL
95,160,NBAGS
96,161,RL
97,162,CRICKET
98,163,NFLFUT
99,164,EUROS
100,165,AFL
101,166,MEDALS
102,167,OSOCCER
103,168,OBBALL
104,169,OVOLLEY
105,170,OWBBALL
106,171,OBB
107,172,CFBFUT
108,173,NBAFUT
109,174,Dota2
110,175,WEURO
111,176,WCBB
